ID,Level,Title,Definition,Reviewer Feedback
1,Pillar,Clinical Science and Perioperative Care,"All bedside knowledge and actions directly involved in assessing patients, delivering anesthesia, managing airways, providing sedation, regional, postoperative care, and responding to emergencies.",
1.1,Sub-Pillar,Foundational Sciences for Anesthesia Practice,"The scientific foundation underpinning all clinical anesthesia practice, including human physiology and pathophysiology, pharmacology and pharmacokinetics, applied anatomy, and the chemistry and physics relevant to anesthesia delivery.",
1.1.1,Branch,Physiology of Organ Systems,"Normal physiologic function of cardiovascular, respiratory, neurological, renal, hepatic, and endocrine systems as they relate to anesthesia delivery and patient response.",
1.1.1-1,Topic Domain,Cardiovascular Physiology,"Cardiac cycle mechanics, myocardial oxygen supply and demand, coronary circulation, cardiac output determinants, and vascular tone regulation.",
1.1.1-2,Topic Domain,Respiratory Physiology,"Ventilation mechanics, gas exchange, oxygen transport, carbon dioxide elimination, ventilation-perfusion relationships, and respiratory control mechanisms.",
1.1.1-3,Topic Domain,Neurophysiology and Autonomic Function,"Central nervous system function, cerebral blood flow regulation, intracranial pressure dynamics, autonomic nervous system balance, and neuromuscular transmission.",
1.1.1-4,Topic Domain,Renal Physiology,"Glomerular filtration, tubular function, fluid and electrolyte homeostasis, acid-base regulation, and drug elimination pathways.",
1.1.1-5,Topic Domain,Hepatic Physiology,"Hepatic blood flow, drug metabolism pathways, synthetic function, and bile production.",
1.1.1-6,Topic Domain,Endocrine Physiology,"Hypothalamic-pituitary axes, adrenal stress response, thyroid function, glucose regulation, and calcium homeostasis.",
1.1.1-7,Topic Domain,Hematologic Physiology,"Coagulation cascade, platelet function, fibrinolysis, oxygen-carrying capacity, and transfusion physiology.",
1.1.2,Branch,Pathophysiology and Coexisting Disease States,"How acute and chronic disease processes alter normal physiology and impact anesthetic risk, drug handling, and perioperative management.",
1.1.2-1,Topic Domain,Cardiovascular Disease Pathophysiology,"Coronary artery disease, heart failure, valvular disease, arrhythmias, and hypertension as they alter anesthetic risk and management.",
1.1.2-2,Topic Domain,Pulmonary Disease Pathophysiology,"Obstructive and restrictive lung diseases, pulmonary hypertension, and sleep-disordered breathing affecting anesthetic management.",
1.1.2-3,Topic Domain,Neurologic Disease Pathophysiology,"Cerebrovascular disease, seizure disorders, neurodegenerative conditions, and neuromuscular diseases relevant to anesthesia.",
1.1.2-4,Topic Domain,Renal Disease Pathophysiology,"Acute kidney injury, chronic kidney disease, and electrolyte disorders affecting drug handling and fluid management.",
1.1.2-5,Topic Domain,Hepatic Disease Pathophysiology,"Cirrhosis, portal hypertension, hepatic encephalopathy, and coagulopathy of liver disease.",
1.1.2-6,Topic Domain,Endocrine and Metabolic Disease Pathophysiology,"Diabetes mellitus, thyroid disorders, adrenal insufficiency, and pheochromocytoma as they impact perioperative care.",
1.1.2-7,Topic Domain,Hematologic Disorders Pathophysiology,"Coagulopathies, anticoagulant effects, anemia, and hemoglobinopathies affecting surgical bleeding and oxygen delivery.",
1.1.2-8,Topic Domain,Obesity and Nutritional Pathophysiology,"Physiologic changes of obesity including respiratory mechanics, cardiovascular effects, and pharmacokinetic alterations.",
1.1.3,Branch,Pharmacology of Anesthetic Agents,"Mechanisms of action, pharmacokinetics, pharmacodynamics, and drug interactions for all agent classes used in anesthesia practice.",
1.1.3-1,Topic Domain,Inhalational Anesthetic Pharmacology,"Uptake, distribution, and elimination of volatile agents; MAC concepts; organ system effects of sevoflurane, desflurane, isoflurane, and nitrous oxide.",
1.1.3-2,Topic Domain,Intravenous Anesthetic Pharmacology,"Pharmacokinetics and pharmacodynamics of propofol, etomidate, ketamine, and emerging agents like remimazolam.",
1.1.3-3,Topic Domain,Opioid Pharmacology,"Receptor pharmacology, pharmacokinetics of fentanyl, sufentanil, remifentanil, morphine, and hydromorphone.",
1.1.3-4,Topic Domain,Neuromuscular Blocking Agent Pharmacology,"Depolarizing and non-depolarizing agent mechanisms, onset and duration profiles, metabolism pathways, and factors affecting blockade.",
1.1.3-5,Topic Domain,Local Anesthetic Pharmacology,"Mechanism of nerve blockade, structure-activity relationships, pharmacokinetics, and systemic toxicity of amides and esters.",
1.1.3-6,Topic Domain,Sedative and Anxiolytic Pharmacology,"Benzodiazepine pharmacology, dexmedetomidine mechanisms and applications, and the sedation continuum.",
1.1.3-7,Topic Domain,Cardiovascular Drug Pharmacology,"Vasopressors, inotropes, vasodilators, antihypertensives, and antiarrhythmics used in anesthesia practice.",
1.1.3-8,Topic Domain,Reversal Agents and Antagonist Pharmacology,"Sugammadex, neostigmine, flumazenil, naloxone, and other antagonists.",
1.1.4,Branch,Applied Anatomy for Anesthesia Practice,"Anatomical structures and spatial relationships essential for airway management, regional anesthesia techniques, vascular access, and understanding surgical positioning effects.",
1.1.4-1,Topic Domain,Airway Anatomy,"Upper and lower airway structures, anatomic predictors of difficult intubation, and variations affecting airway management.",
1.1.4-2,Topic Domain,Neuraxial Anatomy,"Vertebral column, spinal cord, meninges, epidural space, and cerebrospinal fluid compartments.",
1.1.4-3,Topic Domain,Upper Extremity Peripheral Nerve Anatomy,"Brachial plexus organization, individual nerve courses, and sonographic appearance.",
1.1.4-4,Topic Domain,Lower Extremity and Trunk Peripheral Nerve Anatomy,"Lumbar and sacral plexus anatomy, femoral, sciatic, and truncal nerve distributions.",
1.1.4-5,Topic Domain,Vascular Access Anatomy,"Arterial and venous anatomy for radial, femoral, and central venous catheterization.",
1.1.4-6,Topic Domain,Thoracic and Mediastinal Anatomy,"Heart, great vessels, lungs, and pleural spaces relevant to thoracic anesthesia and line placement.",
